Nom photos;Taille ULBMP V1 en MegaOctet;Taille ULBMP V2 en MegaOctet;Taux de compression
afghane_aux_yeux_verts_1080x566;1,8;2,3;1,277777778
ali_vs_liston_1080_566;1,8;1,9;1,055555556
coeur_de_voh_1080x566;1,8;2,3;1,277777778
death_at_the_gates_of_paradise_1080x566;1,8;2,4;1,333333333
la_fillette_et_le_vautour_1080x566;1,8;2,4;1,333333333
le_baiser_de_lhotel_de_ville_1080x566;1,8;2;1,111111111
Lunch_atop_a_Skyscraper_1080x566;1,8;2,3;1,277777778
piliers_creation_1080x566;1,8;2;1,111111111
selfie_oscar_1080x566;1,8;2,1;1,166666667
tank_man_1080x566;1,8;2,4;1,333333333
;;Moyenne : ;1,227777778
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Nom photos;Taille ULBMP V1 en MegaOctet;Taille ULBMP V4 en MegaOctet;Taux de compression
afghane_aux_yeux_verts_1080x566;1,8;1,1;0,611111111
ali_vs_liston_1080_566;1,8;0,86;0,477777778
coeur_de_voh_1080x566;1,8;1,1;0,611111111
death_at_the_gates_of_paradise_1080x566;1,8;1,1;0,611111111
la_fillette_et_le_vautour_1080x566;1,8;1,2;0,666666667
le_baiser_de_lhotel_de_ville_1080x566;1,8;0,97;0,538888889
Lunch_atop_a_Skyscraper_1080x566;1,8;1,1;0,611111111
piliers_creation_1080x566;1,8;0,93;0,516666667
selfie_oscar_1080x566;1,8;1;0,555555556
tank_man_1080x566;1,8;1,1;0,611111111
;;Moyenne :;0,581111111
